source,title,url
Hacker News,Meta’s AI smart glasses and data privacy concerns,https://www.svd.se/a/K8nrV4/metas-ai-smart-glasses-and-data-privacy-concerns-workers-say-we-see-everything
TechCrunch,Cursor has reportedly surpassed $2B in annualized revenue,https://techcrunch.com/2026/03/02/cursor-has-reportedly-surpassed-2b-in-annualized-revenue/
Dev.to,"Ozigi v2 Changelog: Building a Modular Agentic Content Engine with Next.js, Supabase, and Playwright",https://dev.to/dumebii/ozigi-v2-changelog-building-a-modular-agentic-content-engine-with-nextjs-supabase-and-playwright-59mo
