source,title,url
Hacker News,Why Janet? (2023),https://ianthehenry.com/posts/why-janet/
TechCrunch,Pacific Fusion&#8217;s latest prototype packs 440 gigawatts into an 80-nanosecond burst,https://techcrunch.com/2026/06/02/pacific-fusions-latest-prototype-packs-440-gigawatts-into-an-80-nanosecond-burst/
Dev.to,From vibe coding to clear thinking: what non-technical builders need in the age of AI,https://dev.to/javz/from-vibe-coding-to-clear-thinking-what-non-technical-builders-need-in-the-age-of-ai-4nbd
