source,title,url
Hacker News,Project Hail Mary – Stellar Navigation Chart,https://valhovey.github.io/gaia-mary/
TechCrunch,Finnish phone-maker HMD bundles Indian AI chatbot onto new smartphone in push to reach local market,https://techcrunch.com/2026/05/21/finnish-phone-maker-hmd-bundles-indian-ai-chatbot-onto-new-smartphone-in-push-to-reach-local-market/
Dev.to,"Join the GitHub Finish-Up-A-Thon Challenge: $3,000 Prize Pool!",https://dev.to/devteam/join-the-github-finish-up-a-thon-challenge-3000-prize-pool-f41
