source,title,url
Hacker News,The lost joy of music piracy,https://www.pigeonsandplanes.com/read/music-piracy-what-cd-oink-nine-inch-nails-streaming
TechCrunch,Applied Computing wants to give oil and gas operators an AI model for the entire plant,https://techcrunch.com/2026/07/15/applied-computing-wants-to-give-oil-and-gas-operators-an-ai-model-for-the-entire-plant/
Dev.to,Eighty Percent Done Is Not a Real Number,https://dev.to/pascal_cescato_692b7a8a20/eighty-percent-done-is-not-a-real-number-54nf
