source,title,url
Hacker News,The 'Toy Story' You Remember,https://animationobsessive.substack.com/p/the-toy-story-you-remember
TechCrunch,Lovable says it&#8217;s nearing 8 million users as the year-old AI coding startup eyes more corporate employees,https://techcrunch.com/2025/11/10/lovable-says-its-nearing-8-million-users-as-the-year-old-ai-coding-startup-eyes-more-corporate-employees/
Dev.to,"Umbraco in the City - Community, Code, and Cuddles",https://dev.to/lssweatherhead/umbraco-in-the-city-community-code-and-cuddles-80c
