source,title,url
Hacker News,"OpenShot 4.0: Record, Edit, and Color Like Never Before",https://www.openshot.org/blog/2026/08/30/openshot-40-record-edit-color-like-never-before/
TechCrunch,Meeting notetaker Circleback adds a free tier to attract more customers,https://techcrunch.com/2026/08/31/meeting-notetaker-circleback-adds-a-free-tier-to-attract-more-customers/
Dev.to,"CPU, GPU, TPU, NPU, DPU, QPU: six chips, one question",https://dev.to/lovestaco/cpu-gpu-tpu-npu-dpu-qpu-six-chips-one-question-438b
