source,title,url
Hacker News,Live: Artemis II Launch Day Updates,https://www.nasa.gov/blogs/missions/2026/04/01/live-artemis-ii-launch-day-updates/
TechCrunch,De-fi platform Drift suspends deposits and withdrawals after millions in crypto stolen in hack,https://techcrunch.com/2026/04/01/de-fi-platform-drift-suspends-deposits-and-withdrawals-after-millions-in-crypto-stolen-in-hack/
Dev.to,Join our April Fools Challenge for a chance at TEA-RRIFIC prizes!!!,https://dev.to/devteam/join-our-april-fools-challenge-for-a-chance-at-tea-rrific-prizes-1ofa
