source,title,url
Hacker News,Shipping a laptop to a refugee camp in Uganda,https://notesbylex.com/shipping-a-laptop-to-a-refugee-camp-in-uganda
TechCrunch,"Peec, one of Berlin’s rising startups, more than doubled annualized revenue in months to $10M, sources say",https://techcrunch.com/2026/05/23/peec-one-of-berlins-rising-startups-more-than-doubled-annualized-revenue-in-months-to-10m-sources-say/
Dev.to,The Most Concerning AI Risk of 2026,https://dev.to/sachagreif/the-most-concerning-ai-risk-of-2026-3m0d
