source,title,url
Hacker News,Filing the corners off my MacBooks,https://kentwalters.com/posts/corners/
TechCrunch,NASA Artemis II splashes down in Pacific Ocean in &#8216;perfect&#8217; landing for Moon mission,https://techcrunch.com/2026/04/10/nasa-artemis-ii-landing-pacific-ocean-splash-down/
Dev.to,What was your win this week??,https://dev.to/devteam/what-was-your-win-this-week-3df3
