source,title,url
Hacker News,Microsoft's open source tools were hacked to steal passwords of AI developers,https://techcrunch.com/2026/06/08/microsofts-open-source-tools-were-hacked-to-steal-passwords-of-ai-developers/
TechCrunch,Evotrex raises $30M to build the RV that doesn&#8217;t need a charging station,https://techcrunch.com/2026/06/09/anker-backed-evotrex-raises-30m-to-build-its-off-grid-rv/
Dev.to,I Built an Interview Prep Tool Instead of Grinding LeetCode,https://dev.to/javz/i-built-an-interview-prep-tool-instead-of-grinding-leetcode-35a0
