source,title,url
Hacker News,Keep Our Servers Running,https://blog.archive.org/2026/09/01/keep-our-servers-running-your-recurring-donation-goes-3x-this-september/
TechCrunch,Phil Schiller’s App Store exit reportedly driven by wariness over future plans,https://techcrunch.com/2026/09/06/phil-schillers-app-store-exit-reportedly-driven-by-wariness-over-future-plans/
Dev.to,My Grandmother Ran Ajo. I Built the Version Where the Pot Can't Walk Away,https://dev.to/dannwaneri/my-grandmother-ran-ajo-i-built-the-version-where-the-pot-cant-walk-away-5gkn
