source,title,url
Hacker News,14-year-old Miles Wu folded origami pattern that holds 10k times its own weight,https://www.smithsonianmag.com/innovation/this-14-year-old-is-using-origami-to-design-emergency-shelters-that-are-sturdy-cost-efficient-and-easy-to-deploy-180988179/
TechCrunch,"Have money, will travel: a16z&#8217;s hunt for the next European unicorn",https://techcrunch.com/2026/02/16/have-money-will-travel-a16zs-hunt-for-the-next-european-unicorn/
Dev.to,"After 2 years of AI-assisted coding, I automated the one thing that actually improved quality: AI Pair Programming",https://dev.to/yw1975/after-2-years-of-ai-assisted-coding-i-automated-the-one-thing-that-actually-improved-quality-ai-2njh
