source,title,url
Hacker News,A sufficiently detailed spec is code,https://haskellforall.com/2026/03/a-sufficiently-detailed-spec-is-code
TechCrunch,Two Palantir veterans just came out of stealth with $30 million and a Sequoia stamp of approval,https://techcrunch.com/2026/03/18/two-palantir-veterans-just-came-out-of-stealth-with-30-million-and-a-sequoia-stamp-of-approval/
Dev.to,The Email That Nearly Stopped Me From Becoming a Developer,https://dev.to/sylwia-lask/the-email-that-nearly-stopped-me-from-becoming-a-developer-3n77
