source,title,url
Hacker News,Salesforce to Acquire Fin (formerly Intercom) for $3.6BN,https://www.salesforce.com/news/press-releases/2026/06/15/salesforce-signs-definitive-agreement-to-acquire-fin/?bc=HL
TechCrunch,A satellite just learned to find things on its own — here&#8217;s what that means,https://techcrunch.com/2026/06/15/a-satellite-just-learned-to-find-things-on-its-own-heres-what-that-means/
Dev.to,Solstice Runner — A Browser Game Tribute to Alan Turing,https://dev.to/makendrang/solstice-runner-a-browser-game-tribute-to-alan-turing-52fc
