source,title,url
Hacker News,Linux Sandboxes and Fil-C,https://fil-c.org/seccomp
TechCrunch,"India&#8217;s Spinny lines up $160M funding to acquire GoMechanic, sources say",https://techcrunch.com/2025/12/13/indias-spinny-lines-up-160m-funding-to-acquire-gomechanic-sources-say/
Dev.to,Advent of AI 2025 - Day 9: Building a Gift Tag Generator with Goose Recipes,https://dev.to/nickytonline/advent-of-ai-2025-day-9-building-a-gift-tag-generator-with-goose-recipes-3i73
