source,title,url
Hacker News,Async Rust never left the MVP state,https://tweedegolf.nl/en/blog/237/async-rust-never-left-the-mvp-state
TechCrunch,"As workers worry about AI, Nvidia&#8217;s Jensen Huang says AI is &#8216;creating an enormous number of jobs&#8217;",https://techcrunch.com/2026/05/04/as-workers-worry-about-ai-nvidias-jensen-huang-says-ai-is-creating-an-enormous-number-of-jobs/
Dev.to,The 4 Cognitive Archetypes of Developers Using AI,https://dev.to/javz/the-4-cognitive-archetypes-of-developers-using-ai-382n
