source,title,url
Hacker News,Why is Zig so cool?,https://nilostolte.github.io/tech/articles/ZigCool.html
TechCrunch,Rivian gives RJ Scaringe a new pay package worth up to $5B,https://techcrunch.com/2025/11/07/rivian-gives-rj-scaringe-a-new-pay-package-worth-up-to-5b/
Dev.to,The Real Reason Developers Hate Meetings (It’s Not Time) 🧠💥,https://dev.to/sylwia-lask/the-real-reason-developers-hate-meetings-its-not-time-31do
