source,title,url
Hacker News,Show HN: CineCLI – Browse and torrent movies directly from your terminal,https://github.com/eyeblech/cinecli
TechCrunch,OpenAI says AI browsers may always be vulnerable to prompt injection attacks,https://techcrunch.com/2025/12/22/openai-says-ai-browsers-may-always-be-vulnerable-to-prompt-injection-attacks/
Dev.to,7 Lies Developers Keep Telling Themselves (And Somehow Still Believe),https://dev.to/sylwia-lask/7-lies-developers-keep-telling-themselves-and-somehow-still-believe-46nh
