source,title,url
Hacker News,"Show HN: Pdfwithlove – PDF tools that run 100% locally (no uploads, no back end)",https://pdfwithlove.netlify.app
TechCrunch,"Sequoia to invest in Anthropic, breaking VC taboo on backing rivals: FT",https://techcrunch.com/2026/01/18/sequoia-to-invest-in-anthropic-breaking-vc-taboo-on-backing-rivals-ft/
Dev.to,When DEV.to Stats Aren't Enough: Building My Own Memory,https://dev.to/pascal_cescato_692b7a8a20/when-devto-stats-arent-enough-building-my-own-memory-5cid
