source,title,url
Hacker News,Knotty: A domain-specific language for knitting patterns,https://t0mpr1c3.github.io/knotty/index.html
TechCrunch,Smartphone maker Nothing to spin off its affordable CMF brand,https://techcrunch.com/2025/09/24/smartphone-maker-nothing-to-spin-off-its-affordable-cmf-brand/
Dev.to,"I built a voice AI agent to clean my emails, meetings, and Slack DMs (Composio, Vapi, OpenAI TTS) 🪄",https://dev.to/composiodev/i-built-a-voice-ai-agent-to-clean-my-emails-meetings-and-slack-dms-composio-vapi-openai-tts-472b
