source,title,url
Hacker News,JPEG Compression,https://www.sophielwang.com/blog/jpeg
TechCrunch,"Kalshi&#8217;s legal troubles pile up, as Arizona files first ever criminal charges over &#8216;illegal gambling business&#8217;",https://techcrunch.com/2026/03/17/kalshis-legal-troubles-pile-up-as-arizona-files-first-ever-criminal-charges-over-illegal-gambling-business/
Dev.to,Announcing the Colab MCP Server: Connect Any AI Agent to Google Colab,https://dev.to/googleai/announcing-the-colab-mcp-server-connect-any-ai-agent-to-google-colab-308o
